Unnamed: 0,UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage ,Event Source,Event Souce ID,District_LGD_Codes,State_Codes
3877,UEI-IMD-FL-2009-0026,2009-07-16,16-07-2009 00:00,1.0,heavy rains,,"Dakshina Kannada, Dharwad,Mysuru",Karnataka,,,,,13.0,,,,13 persons died.,,IMD,,"534, 536, 545",29
3878,UEI-IMD-FL-2009-0027,2009-09-05,05-09-2009 00:00,1.0,flood (bhadra),,"Chikkaballapura, Raichur, Kalaburagi",Karnataka,,,,,,3.0,,,3 persons washed away.,,IMD,,"630, 546, 538",29
3879,UEI-IMD-FL-2009-0028,2009-09-13,15-09-2009 00:00,3.0,heavy rains,,"Bengaluru Urban,  Kalaburagi,Raichur",Karnataka,,,,,4.0,2.0,,,"4 persons died,2 children washed away.",,IMD,,"525, 538, 546",29
3880,UEI-IMD-FL-2009-0029,2009-09-18,18-09-2009 00:00,1.0,heavy rains,,Bengaluru Urban,Karnataka,,,,,,4.0,,,4 persons washed away.,,IMD,,525,29
3881,UEI-IMD-FL-2009-0030,2009-09-22,23-09-2009 00:00,2.0,heavy rains,,"Chitradurga, Davangere,Raichur",Karnataka,,,,,5.0,1.0,,,"5 persons died,one person washed away.",,IMD,,"533, 535, 546",29
3882,UEI-IMD-FL-2009-0031,2009-09-29,29-09-2009 00:00,1.0,heavy rains,, Kalaburagi,Karnataka,,,,,,3.0,,,3 girls washed away.,,IMD,,538,29
3883,UEI-IMD-FL-2009-0032,2009-09-29,03-10-2009 00:00,5.0,heavy rains,,"Bagalkotee, Bijapur, Gadag, Dharwad, Haveri, Belagavi, Ballari, Beedar, Kalaburagi, Koppal, Raichur, Vijayapura,Yadgir",Karnataka,,,,,308.0,,,,308 persons died.,"4,069 houses. collapsed,11,488 houses damaged. ",IMD,,"None, 636, 537, 536, 540, 527, 528, None, 538, 543, 546, 530, 635",29
3884,UEI-IMD-FL-2009-0033,2009-10-01,07-10-2009 00:00,7.0,"flash flood (krishna, ghatprabha,malprabha)",,"Beedar, Kalaburagi, Belagavi, Yadgir, Bagalkotee, Raichur, Koppal, Gadag, Ballari, Dharwad, Uttar Kashia Kannada, Haveri, Chitradurga, Davangere, Shivamogga, Udupi",Karnataka,,,,,195.0,,,,195 persons died.,"i)Crops in 25000 hectares of area damaged. ii)2,40,000 houses damaged causing Rs. 16,500 crores loss. ",IMD,,"None, 538, 527, 635, None, 546, 543, 537, 528, 536, None, 540, 533, 535, 547, 549",29
3992,UEI-IMD-FL-2010-0055,2010-05-16,16-05-2010 00:00,1.0,heavy rains,,Bengaluru Rural,Karnataka,,,,,1.0,1.0,,,"One person died,other washed away.",i) Low lying areas inundated. ii) Many trees uprooted.,IMD,,526,29
3993,UEI-IMD-FL-2010-0056,2010-05-20,20-05-2010 00:00,1.0,heavy rains,,"Ballari, Chitradurga,Udupi",Karnataka,,,,,4.0,,,,4 persons died. ,i)Damage to public property reported. ii) Electricity/ television/ telephoneservices disrupted. ,IMD,,"528, 533, 549",29
3994,UEI-IMD-FL-2010-0057,2010-05-30,30-05-2010 00:00,1.0,heavy rains,,"Bengaluru Rural,Kodagu",Karnataka,,,,,3.0,,,,3 persons died.,i) Low lying areas flooded. ii) Roof tops of many houses blown away. ,IMD,,"526, 541",29
3995,UEI-IMD-FL-2010-0058,2010-06-17,17-06-2010 00:00,1.0,heavy rains,,Bijapur,Karnataka,,,,,1.0,,,,One girl died.,Electricity/television/ telephone services disrupted.,IMD,,636,29
3996,UEI-IMD-FL-2010-0059,2010-07-21,21-07-2010 00:00,1.0,heavy rains,,Udupi,Karnataka,,,,,1.0,,,,One person died.,,IMD,,549,29
3997,UEI-IMD-FL-2010-0060,2010-07-27,31-07-2010 00:00,5.0,heavy rains,,"Belagavi, Dakshina Kannada, Uttar Kashia Kannada, Davangere, Gadag,Shivamogga ",Karnataka,,,,,5.0,,,,5 persons died due to wall collapsed.,"i) Many people affected. ii) Damage to public,private property reported. ",IMD,,"527, 534, None, 535, 537, 547",29
3998,UEI-IMD-FL-2010-0061,2010-08-21,21-08-2010 00:00,1.0,heavy rains,,"Ballari,Bengaluru Rural",Karnataka,,,,,2.0,,,,2 persons died.,i) Low lying areas flooded. ii) Many trees uprooted.,IMD,,"528, 526",29
3999,UEI-IMD-FL-2010-0062,2010-08-26,26-08-2010 00:00,1.0,heavy rains,,"Belagavi, Beedar, Gadag,Raichur",Karnataka,,,,,4.0,,,,4 persons died.,i) Normal life paralysed. ii) Electricity/television/telephone services disrupted. ,IMD,,"527, None, 537, 546",29
4000,UEI-IMD-FL-2010-0063,2010-08-30,30-08-2010 00:00,1.0,heavy rains,, Kalaburagi,Karnataka,,,,,1.0,,,,One person died.,,IMD,,538,29
4121,UEI-IMD-FL-2011-0035,2011-01-19,19-01-2011 00:00,1.0,heavy rains,,Parts of Karnataka,Karnataka,,,,,,,,,,Chana crop badly damaged.,IMD,,,29
4122,UEI-IMD-FL-2011-0036,2011-04-23,23-04-2011 00:00,1.0,heavy rains,,"Bengaluru Urban,Ramanagara",Karnataka,,,,,4.0,,,,4 persons died.,i)Some houses damaged. ii)Trees uprooted disrupting to road traffic. ,IMD,,"525, 631",29
4123,UEI-IMD-FL-2011-0037,2011-07-17,18-07-2011 00:00,2.0,heavy rains,,"Dakshina Kannada, Haveri, Kodagu,Shivamogga",Karnataka,,,,,3.0,2.0,,,"2 persons died, other woman died due to wall collapse,2 others washed away in Suparnika,Varada river","i) Low lying areas flooded. ii) Trees/electricity poles uprooted. iii) Water,electricity supply disrupted. ",IMD,,"534, 540, 541, 547",29
4124,UEI-IMD-FL-2011-0038,2011-08-05,05-08-2011 00:00,1.0,heavy rains,,Belagavi,Karnataka,,,,,,2.0,,,2 persons washed away in Hiranyakeshi river.,,IMD,,527,29
4125,UEI-IMD-FL-2011-0039,2011-09-06,07-09-2011 00:00,2.0,"flood (ghataprabha,krishna)",,BagalkoteeBijapur,Karnataka,,,,,,2.0,,,2 women washed away.,Electricity / television / telephone services disrupted.,IMD,,,29
4236,UEI-IMD-FL-2012-0043,2012-08-06,07-08-2012 00:00,2.0,heavy rains,,"Kodagu, Shivamogga,Udupi",Karnataka,,,,,4.0,,,,4 persons died.,i)Low lying areas flooded. ii)Trees/electricity poles uprooted disrupting road traffic. iii) Electricity supply ,IMD,,"541, 547, 549",29
4237,UEI-IMD-FL-2012-0044,2012-08-25,25-08-2012 00:00,1.0,heavy rains,,Bengaluru Rural,Karnataka,,,,,1.0,,,,One person died.,,IMD,,526,29
4325,UEI-IMD-FL-2013-0052,2013-05-31,31-05-2013 00:00,1.0,heavy rains ,,Bengaluru Urban ,Karnataka,,,,,1.0,,,,One died due to wall collapse. ,,IMD,,525,29
4326,UEI-IMD-FL-2013-0053,2013-06-05,05-06-2013 00:00,1.0,heavy rains ,,Belagavi ,Karnataka,,,,,1.0,,,,One woman died as a tree fell on her. ,,IMD,,527,29
4327,UEI-IMD-FL-2013-0054,2013-06-10,18-06-2013 00:00,9.0,heavy rains ,,Dakshina Kannada,Karnataka,,,,,4.0,10.0,,,"4 persons died, 4 others washed,6 others injured. ","i) Low lying areas flooded. ii) Trees/electricity poles uprooted causing disruption in road traffic,power communication. ",IMD,,534,29
4328,UEI-IMD-FL-2013-0055,2013-07-02,05-07-2013 00:00,4.0,heavy rains ,,"Belagavi, Dakshina Kannada,Kodagu ",Karnataka,,,,,3.0,4.0,,,"3 persons died,4 others washed away.","i) Low lying areas flooded. ii) Trees/electricity poles uprooted causing disruption in road traffic,power communication.",IMD,,"527, 534, 541",29
4329,UEI-IMD-FL-2013-0056,2013-07-15,15-07-2013 00:00,1.0,heavy rains ,,"Ballari,Shivamogga ",Karnataka,,,,,,2.0,,,2 persons washed away. ,,IMD,,"528, 547",29
4330,UEI-IMD-FL-2013-0057,2013-07-20,20-07-2013 00:00,1.0,heavy rains ,,Davangere ,Karnataka,,,,,2.0,,,,2 persons died.,,IMD,,535,29
4331,UEI-IMD-FL-2013-0058,2013-07-25,25-07-2013 00:00,1.0,heavy rains,,Uttar Kashia Kannada ,Karnataka,,,,,,1.0,,,One person washed away. ,,IMD,,,29
4332,UEI-IMD-FL-2013-0059,2013-08-01,01-08-2013 00:00,1.0,heavy rains ,,Kodagu ,Karnataka,,,,,1.0,,,,One person died.,,IMD,,541,29
4333,UEI-IMD-FL-2013-0060,2013-08-05,05-08-2013 00:00,1.0,heavy rains ,,Udupi ,Karnataka,,,,,1.0,10.0,,,"One woman died due wall collapse,10 others washed away. ",,IMD,,549,29
4433,UEI-IMD-FL-2014-0026,2014-03-08,10-03-2014 00:00,3.0,heavy rains,,"Belagavi,Bijapur ",Karnataka,,,,,4.0,,,,"Belagavi : One woman died when a tree fell on her,other due to wall collapse. Bijapur: One person,a child died in Sindagi Tehsil due to wall collapse. ",,IMD,,"527, 636",29
4434,UEI-IMD-FL-2014-0027,2014-05-19,20-05-2014 00:00,2.0,heavy rains ,,"Chamarajanagaraa,Shivamogga ",Karnataka,,,,,5.0,,,,5 persons including one woman died due to house collapse. ,,IMD,,"None, 547",29
4435,UEI-IMD-FL-2014-0028,2014-06-02,06-06-2014 00:00,5.0,heavy rains ,,"Ballari, Gadag,Koppal ",Karnataka,,,,,1.0,,,,"One woman died due to house collapse in Sandur Tehsil. One boy died in Gadag city,3 others died when a tree,electric pole fell on them in Ganavathy town resp. ",,IMD,,"528, 537, 543",29
4436,UEI-IMD-FL-2014-0029,2014-06-28,29-06-2014 00:00,2.0,heavy rains ,,"Bengaluru Urban,Gadag ",Karnataka,,,,,2.0,,,,2 women died due to house collapse. ,,IMD,,"525, 537",29
4437,UEI-IMD-FL-2014-0030,2014-07-04,09-07-2014 00:00,6.0,heavy rains ,,"Bengaluru Rural, Gadag, Haveri,Kolar ",Karnataka,,,,,4.0,1.0,,,"4 persons died due to house collapse,other swept away. ",,IMD,,"526, 537, 540, 542",29
4438,UEI-IMD-FL-2014-0031,2014-07-31,31-07-2014 00:00,1.0,heavy rains ,,"Haveri,Uttar Kashia Kannada ",Karnataka,,,,,2.0,1.0,,,"One man,a girl died in house collapse in Ranebennur town,other swept away in canal in Mundagod Tehsil resp. ",,IMD,,"540, None",29
4439,UEI-IMD-FL-2014-0032,2014-08-01,08-08-2014 00:00,8.0,heavy rains ,,"Chikkamagaluru, Dakshina Kannada, Dharwad, Raichur,Uttar Kashia Kannada",Karnataka,,,,,4.0,3.0,,,"One person swept away in Koppa Tehsil, 4 persons died due to wall collapse in Karkala & Dharwad Tehsil, other swept away in Krishna river in Devadurga Tehsil,2 persons swept away in Honavar,Joida Tehsil resp. ",,IMD,,"532, 534, 536, 546, None",29
4440,UEI-IMD-FL-2014-0033,2014-08-23,31-08-2014 00:00,9.0,heavy rains ,,"Beedar, Bijapur, Chamarajanagaraa Gadag,  Kalaburagi, Raichur, Tumakuru",Karnataka,,,,,9.0,6.0,,,"2 persons died, 6 persons swept away, 7 others died due to house collapse. ",,IMD,,"None, 636, None, 538, 546, 548",29
4441,UEI-IMD-FL-2014-0034,2014-09-01,01-09-2014 00:00,1.0,heavy rains ,,Chitradurga ,Karnataka,,,,,1.0,,,,One woman died due to house collapse. ,"i) 12,310 houses damaged. ii) Crops in 0.228 m. ha. damaged.",IMD,,533,29
4442,UEI-IMD-FL-2014-0035,2014-09-02,02-09-2014 00:00,1.0,heavy rains ,, Kalaburagi ,Karnataka,,,,,,1.0,,,One man swept away in canal in Sedam Tehsil. ,,IMD,,538,29
4443,UEI-IMD-FL-2014-0036,2014-09-24,24-09-2014 00:00,1.0,heavy rains ,,Ballari ,Karnataka,,,,,1.0,,,,One man died due to house collapse in Kampli town.  ,,IMD,,528,29
4444,UEI-IMD-FL-2014-0037,2014-10-01,01-10-2014 00:00,1.0,heavy rains ,,Tumakuru,Karnataka,,,,,1.0,,,,One man died due to house collapse. ,,IMD,,548,29
4445,UEI-IMD-FL-2014-0038,2014-10-05,09-10-2014 00:00,5.0,heavy rains ,,"Bengaluru Urban, Chikkaballapura,Dharwad ",Karnataka,,,,,2.0,3.0,,,"One girl,2 women swept away in a canal in Bilekalli,Yegati village, other died due to house collapse in Begaluru city while one person died when a sheet of the bus stand roof fell on him in Navalgund town resp.",,IMD,,"525, 630, 536",29
4446,UEI-IMD-FL-2014-0039,2014-10-25,25-10-2014 00:00,1.0,heavy rains ,,Ballari ,Karnataka,,,,,,1.0,,,One person swept away in a canal. ,,IMD,,528,29
4447,UEI-IMD-FL-2014-0040,2014-10-28,28-10-2014 00:00,1.0,heavy rains ,,Bengaluru Rural ,Karnataka,,,,,1.0,,,,One woman died due to house collapse. ,,IMD,,526,29
4528,UEI-IMD-FL-2015-0033,2015-03-06,14-03-2015 00:00,9.0,heavy rains,,"Ballari, Dakshina Kannada, Gadag, Hassan, Uttar Kashia Kannada",Karnataka,,,,,1.0,,,4,1 man died due to temple wall collapsed. 4 cattle heads perished,"i)Damage to standing crops,Mango, Banana trees reported ii)Damage to 8 houses reported",IMD,,"528, 534, 537, 539, None",29
4529,UEI-IMD-FL-2015-0034,2015-04-07,12-04-2015 00:00,6.0,heavy rains,,"Ballari, Beedar, Hassan, Kodagu, Raichur",Karnataka,,,,,4.0,1.0,,,"4 persons died,1 girl injured due to roof of house collapsed","i)Damage to Paddy crops, thousands of Banana plants, hundreds of Coconut trees,Rice bags reported ii)Damage to many houses reported iii)Damage to about 250 Tin-sheds reported iv)Many trees/elctric poles uprooted",IMD,,"528, None, 539, 541, 546",29
4530,UEI-IMD-FL-2015-0035,2015-04-22,23-04-2015 00:00,2.0,heavy rains,,"Bengaluru Rural, Urban, Shivamogga, Tumakuru",Karnataka,,,,,1.0,4.0,,,"1 person died due to wall collapsed in Bengaluru Rural Urban,4 persons injured in Shivamogga District","i)Damage to Banana, Coconut, Mango, Jackfruit trees reported ii)Damage to several houses reported iii)Damage worth lakhs rupees reported iv)Many trees / electric poles uprooted",IMD,,"526, 525, 547, 548",29
4531,UEI-IMD-FL-2015-0036,2015-05-04,11-05-2015 00:00,8.0,heavy rains,,"Raichur, Tumakuru",Karnataka,,,,,2.0,1.0,,,"2 persons died,1 other injured due to wall collapse",Damage to Paddy crops resulting loss of lakhs of rupees reported,IMD,,"546, 548",29
4532,UEI-IMD-FL-2015-0037,2015-05-27,31-05-2015 00:00,5.0,heavy rains,,"Bengaluru Rural, Rural, Bengaluru Rural, Chitradurga, Hassan",Karnataka,,,,,1.0,4.0,,,"1 person died,4 other injured","i)Damage to more than 3,000 Banana plants, Onion crop in 40 acre land, Coconut trees, Pomegranate, Betel nuts reported ii)Damage to Rose garden causing loss of lakhs of rupees reported iii)Damage to many houses reported",IMD,,"526, 526, 526, 533, 539",29
4533,UEI-IMD-FL-2015-0038,2015-06-20,25-06-2015 00:00,6.0,"heavy rains,flood",,"Chikkamagaluru, Dakshina Kannada, Hassan, Kodagu, Shivamogga",Karnataka,,,,,8.0,8.0,,,"8 persons died,8 persons injured",i)Damage to Betel nut crops reported ii)Damage to many houses reported iii)About 400 electric poles uprooted causing disuption in power supply for a week,IMD,,"532, 534, 539, 541, 547",29
4534,UEI-IMD-FL-2015-0039,2015-07-10,20-07-2015 00:00,11.0,heavy rains,,"Ballari, Dakshina Kannada, Udupi",Karnataka,,,,,10.0,,,,10 persons died,,IMD,,"528, 534, 549",29
4535,UEI-IMD-FL-2015-0040,2015-09-05,07-09-2015 00:00,3.0,heavy rains,,"Ballari, Bengaluru Rural, Chitradurga",Karnataka,,,,,5.0,1.0,,,"5 persons died,1 injured","i)Damage to many acres of Paddy, Sugarcane, Cotton, Pulses, Onion crops,Banana plantation reported ii)Choultry (Dharmshala) in front of Vijaya Vittala Mandir in Haampi village collapsed",IMD,,"528, 526, 533",29
4536,UEI-IMD-FL-2015-0041,2015-09-29,29-09-2015 00:00,1.0,heavy rains,,Uttar Kashia Kannada,Karnataka,,,,,,,,,,"Damage to 200 acres of Sugarcane,70 acres of Banana plantation reported",IMD,,,29
4537,UEI-IMD-FL-2015-0042,2015-10-01,04-10-2015 00:00,4.0,heavy rains,,"Bagalkotee Belagavi, Ballari, Chitradurga, Davangere, Dharwad,  Kalaburagi, Tumakuru",Karnataka,,,,,4.0,,,,4 persons died,"i)Damage to crops standing crops of Sugarcane, Tobacco,sowing grains of Jowar, Cotton,Paddy crops reported ii)Damage to several houses reported iii)A small bridge collapsed causing inundated the road,disruption in traffic iv)Several trees uprooted",IMD,,"None, 528, 533, 535, 536, 538, 548",29
4538,UEI-IMD-FL-2015-0043,2015-11-02,02-11-2015 00:00,1.0,heavy rains,,Chitradurga,Karnataka,,,,,,,,,,6 houses collapsed,IMD,,533,29
4664,UEI-IMD-FL-2016-0062,2016-06-20,20-06-2016 00:00,1.0,heavy rains ,,Raichur,Karnataka,,,,,1.0,,,,One girl died.,,IMD,,546,29
4665,UEI-IMD-FL-2016-0063,2016-06-22,22-06-2016 00:00,1.0,heavy rains ,,"Dakshina Kannada, Udupi",Karnataka,,,,,2.0,,,,2 persons died.,,IMD,,"534, 549",29
4666,UEI-IMD-FL-2016-0064,2016-06-27,27-06-2016 00:00,1.0,heavy rains ,,Dakshina Kannada,Karnataka,,,,,1.0,,,,One man died.,,IMD,,534,29
4667,UEI-IMD-FL-2016-0065,2016-07-03,06-07-2016 00:00,4.0,heavy rains ,,"Dakshina Kannada, Uttar Kashia Kannada",Karnataka,,,,,,,,1,A cow perished.,i) Damage to many houses reported. ii) Several trees uprooted.,IMD,,"534, None",29
4668,UEI-IMD-FL-2016-0066,2016-07-11,12-07-2016 00:00,2.0,heavy rains ,,"Belagavi, Chikkamagaluru, Kodagu, Uttar Kashia Kannada",Karnataka,,,,,1.0,4.0,,,One person died in Chikkamagalur Dist. & 4 persons injured in Kodagu Dist.,i) Damage of about 90 houses fully & 200 houses partially reported. ii) Several trees/electric poles uprooted causing vehicular traffic & power supply disruption.,IMD,,"527, 532, 541, None",29
4669,UEI-IMD-FL-2016-0067,2016-07-15,15-07-2016 00:00,1.0,heavy rains ,,Bagalkote,Karnataka,,,,,,,,,,i) 2 villages named Mutturu & Kanankanvadi in Jamakhandi taluk submerged as water was released following heavy rains in Maharashtra & Belgaum Dist. ii) Vegetables grown on hundreds of acres completely washed away.iii) Quarry cement factory flooded.,IMD,,524,29
4670,UEI-IMD-FL-2016-0068,2016-07-22,22-07-2016 00:00,1.0,heavy rains ,," Kalaburagi, Uttar Kashi",Karnataka,,,,,,1.0,,6,"One person drowned in Mullamari river Iragapali village, Chincholi taluk in  Kalaburagi Dist. 6 livestock perished.",i) Damage to standing crops reported. ii) Damage to 20 irrigation pumps set reported. iii) Partial damage to 279 houses reported. iv) Damage to Govt. School building reported as a huge tree fell.,IMD,,"538, 57",29
4671,UEI-IMD-FL-2016-0069,2016-07-29,29-07-2016 00:00,1.0,heavy rains ,,Bengaluru Urban,Karnataka,,,,,,,,,,i) About 3000 houses affected. ii) Damage to few cars & two-wheelers reported.,IMD,,525,29
4672,UEI-IMD-FL-2016-0070,2016-07-31,31-07-2016 00:00,1.0,heavy rains ,, Kalaburagi,Karnataka,,,,,,,,,,i) Hundreds acres of crops washed away. ii) Damage to historic Hazrat Safdar Darga reported.,IMD,,538,29
4673,UEI-IMD-FL-2016-0071,2016-08-05,09-08-2016 00:00,5.0,heavy rains & floods in krishna river,,"Bagalkotee Belagavi, Raichur, Yadgir",Karnataka,,,,,,1.0,,,One boatman washed away in Raichur Dist.,"i) Extensive damage to standing crops of Toor, Cotton reported. ii) Several villages on Krishna river bank inundated. iii) Bridges inundated in Belgaum & RaichurDist.",IMD,,"None, 546, 635",29
4674,UEI-IMD-FL-2016-0072,2016-08-18,18-08-2016 00:00,1.0,heavy rains ,,Hassan,Karnataka,,,,,,,,,,Agricultural crops worth lakhs of rupees destroyed.,IMD,,539,29
4675,UEI-IMD-FL-2016-0073,2016-09-15,16-09-2016 00:00,2.0,heavy rains ,,"Beedar,  Kalaburagi, Raichur",Karnataka,,,,,,2.0,,,2 persons died.,i) Damage to 500 acres of crops reported. ii) Human life disrupted. iii) Partial damage to more than 29 houses reported.,IMD,,"None, 538, 546",29
4676,UEI-IMD-FL-2016-0074,2016-09-22,26-09-2016 00:00,5.0,heavy rains ,,"Beedar, Belagavi, Gadag,  Kalaburagi",Karnataka,,,,,,1.0,,,One boy drowned in Bidar Dist.,"i) Damage to 84,991 hectares standing crops reported. ii) Damage to as many as 2900 houses reported.",IMD,,"None, 527, 537, 538",29
4677,UEI-IMD-FL-2016-0075,2016-12-13,14-12-2016 00:00,2.0,heavy rains ,,"Hassan , Kodagu, Mysuru",Karnataka,,,,,,,,,,Coffee & Paddy harvest affected badly.,IMD,,"539, 541, 545",29
4801,UEI-IMD-FL-2017-0064,2017-01-12,12-01-2017 00:00,1.0,Heavy Rains,,"Chamarajanagaraa Hassan, Kodagu, Kolar, Mandya, Mysuru",Karnataka,,,,,,,,,,"Damage to Ragi crops, Vegetables & Coffee crops which had reached at the harvesting stage reported",IMD,,"None, 541, 542, 544, 545",29
4793,UEI-IMD-FL-2017-0056,2017-05-09,09-06-2017 00:00,2.0,Heavy Rains,,Mysuru,Karnataka,,,,,5.0,,,,5 persons died.,Damage to Sugarcane & Cotton crops reported.,IMD,,545,29
4799,UEI-IMD-FL-2017-0062,2017-05-10,10-08-2017 00:00,4.0,Heavy Rains            ,,Bengaluru Urban,Karnataka,,,,,,,,,,i) Damage to 10 vehicles reported. ii) Low lying areas inundated. iii) Roads submerged.,IMD,,525,29
4778,UEI-IMD-FL-2017-0041,2017-05-18,18-05-2017 00:00,1.0,Heavy Rains,,"Dakshina Kannada, Mysuru",Karnataka,,,,,,3.0,,,3 persons injured in Dakshina Kannada Dist.,i) Damage to crops reported. ii) Many houses damaged. iii) Several trees/electric poles uprooted causing vehicular traffic & power supply disruption.,IMD,,"534, 545",29
4779,UEI-IMD-FL-2017-0042,2017-05-24,24-05-2017 00:00,1.0,Heavy Rains,,Tumakuru,Karnataka,,,,,3.0,,,,3 persons died,"10,000 Areca & 4,000 Coconut trees uprooted",IMD,,548,29
4780,UEI-IMD-FL-2017-0043,2017-05-27,27-05-2017 00:00,1.0,Heavy Rains,,Mysuru,Karnataka,,,,,1.0,,,,One woman died.,Damage to 10 houses reported.,IMD,,545,29
4783,UEI-IMD-FL-2017-0046,2017-06-17,17-06-2017 00:00,1.0,Heavy Rains,,"Ballari, Gadag",Karnataka,,,,,,,,,,i) Huge quantity of vegetables washed away. ii) 3 mud houses damaged.,IMD,,"528, 537",29
4784,UEI-IMD-FL-2017-0047,2017-06-21,27-06-2017 00:00,7.0,Heavy Rains,,"Dakshina Kannada, Haveri, Yadgir",Karnataka,,,,,1.0,5.0,,,One person died & 5 others injured,i) A house collapsed ii) Several trees/electric poles uprooted causing vehicular traffic & power supply disruption,IMD,,"534, 540, 635",29
4781,UEI-IMD-FL-2017-0044,2017-07-06,06-07-2017 00:00,1.0,Heavy rains & Floods,,"Bagalkotee Ballari, Beedar,  Kalaburagi",Karnataka,,,,,1.0,,,,One girl died in Bellary Dist,i) Many houses flooded in Bidar Dist. ii) Bridge connecting Kaladgi Bagalkot washed away & the other bridge in  Kalaburagi Dist. washed away,IMD,,"None, None, 538",29
4785,UEI-IMD-FL-2017-0048,2017-07-19,19-07-2017 00:00,1.0,Heavy Rains,,"Belagavi, Kodagu",Karnataka,,,,,1.0,,,,One person died in Belagavi Dist.,i) Damage to Paddy fields reported.,IMD,,"527, 541",29
4786,UEI-IMD-FL-2017-0049,2017-07-21,21-07-2017 00:00,1.0,Heavy Rains,,Belagavi,Karnataka,,,,,1.0,,,,One person died.,i) Partial damage to 73 houses reported,IMD,,527,29
4794,UEI-IMD-FL-2017-0057,2017-08-09,09-10-2017 00:00,3.0,Heavy Rains,,"Bagalkotee Bengaluru Urban, Ballari, Bijapur, Hassan, Mysuru, Yadgir",Karnataka,,,,,12.0,2.0,,,"Total 12 persons died & 2 others injured. Bagalkot��������1, Bangalore- 8, Bijapur - 2, Yadgir �������� 1.",i) Damage to Kharif crops reported. ii) Damage to many houses reported. iii) Damage to many vehicles reported. iv) A bridge washed away in Bijapur Dist. v) More than 153 electric poles & more than 300 trees uprooted causing disruption in vehicular traffic & power supply.,IMD,,"None, 528, 636, 539, 545, 635",29
4788,UEI-IMD-FL-2017-0051,2017-08-14,15-08-2017 00:00,2.0,Heavy Rains,,"Bengaluru Urban, Gadag",Karnataka,,,,,2.0,,,,2 persons injured.,i) Damage to many houses reported. ii) Damage to vehicles reported. iii) Low lying area inundated. iv) More than 31 trees uprooted causing disruption in vehicular traffic.,IMD,,"525, 537",29
4789,UEI-IMD-FL-2017-0052,2017-08-17,17-08-2017 00:00,1.0,Heavy Rains,,Mandya,Karnataka,,,,,,,,,,i) Damage to 25 houses reported. ii) Low lying areas inundated. iii) Several trees/electric poles uprooted causing vehicular traffic & power supply disruption.,IMD,,544,29
4790,UEI-IMD-FL-2017-0053,2017-08-26,27-08-2017 00:00,2.0,Heavy Rains,,"Beedar, Dakshina Kannada, Yadgir",Karnataka,,,,,2.0,,,,"Total 2 persons died. Dakshina Kannada - 1, Yadgir �������� 1.",Damage to 20 acres of crops reported as a bridge submerged in Bidar Dist.,IMD,,"None, 534, 635",29
4791,UEI-IMD-FL-2017-0054,2017-08-28,28-08-2017 00:00,1.0,Heavy Rains,,"Kodagu, Uttar Kashia Kannada",Karnataka,,,,,3.0,,,,3 persons died in Kodagu Dist.,Damage to a house & classroom of a school reported,IMD,,"541, None",29
4792,UEI-IMD-FL-2017-0055,2017-08-29,30-08-2017 00:00,2.0,Heavy Rains,,"Bengaluru Urban, Chikkaballapura, Chitradurga,  Kalaburagi, Hassan, Kodagu,",Karnataka,,,,,,,,,,i) Damage to standing Paddy crops reported. ii) Damage to several houses reported. iii) Several trees uprooted causing disruption in vehicular traffic.,IMD,,"525, 630, 533, 538, 539, 541, 603",29
4795,UEI-IMD-FL-2017-0058,2017-09-13,15-09-2017 00:00,3.0,Heavy Rains,,"Bagalkotee Bengaluru Urban, Raichur",Karnataka,,,,,5.0,9.0,,,"5 persons died & 9 others injured. Bagalkot - 2, Raichur �������� 3.",i) Damage to Kharif crops reported. ii) Damage to more than 25 houses reported. iii) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply.,IMD,,"None, 546",29
4796,UEI-IMD-FL-2017-0059,2017-09-17,17-09-2017 00:00,1.0,Heavy Rains,,Bijapur,Karnataka,,,,,1.0,,,,One person died.,Bridge cum barrage washed away.,IMD,,636,29
4797,UEI-IMD-FL-2017-0060,2017-09-26,28-09-2017 00:00,3.0,Heavy Rains,,"Bagalkotee Bengaluru Urban, Dharwad, Gadag, Mandya, Mysuru, Raichur",Karnataka,,,,,4.0,,,,"Total 4 persons died. Bangalore- 2, Dharwad- 1, Raichur �������� 1.",i) Partial damage to Srirangapattana fort reported. ii) Loss of about 1 crore rupees reported as more than 35 houses damaged. iii) Several trees/electric poles uprooted causing disruption in vehicular traffic & power supply.,IMD,,"None, 536, 537, 544, 545, 546",29
4798,UEI-IMD-FL-2017-0061,2017-09-29,30-09-2017 00:00,2.0,Heavy Rains,,"Gadag,  Kalaburagi",Karnataka,,,,,2.0,,,,2 persons died in  Kalaburagi Dist.,i) Damage to Sugarcane crop reported. ii) 15 huts washed away,IMD,,"537, 538",29
4777,UEI-IMD-FL-2017-0040,2017-10-05,05-10-2017 00:00,1.0,Heavy Rains,,Kodagu,Karnataka,,,,,,,,,,Damage to 2300 Papaya plants & 6 acres of Mango crops reported.,IMD,,541,29
