Unnamed: 0,UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage ,Event Source,Event Souce ID,District_LGD_Codes,State_Codes
3340,UEI-IMD-FL-2005-0047,2005-06-22,22-06-2005 00:00,1.0,heavy rains,,Bengaluru Urban ,Karnataka,,,,,2.0,,,,2 school girls from the same family died,(i)A coconut tree uprooted (ii)An electric pole broken due to a tree,IMD,,525,29
3341,UEI-IMD-FL-2005-0048,2005-06-22,22-06-2005 00:00,1.0,heavy rains,,Uttar Kashia Kannada,Karnataka,,,,,,,,,,"Sea water inundated Plantation,fishermen sheds",IMD,,,29
3342,UEI-IMD-FL-2005-0049,2005-07-03,03-07-2005 00:00,1.0,heavy rains,,Belagavi,Karnataka,,,,,1.0,2.0,,,(i)2 persons drowned in overflowing river (ii)1 girl died in house collapse,,IMD,,527,29
3343,UEI-IMD-FL-2005-0050,2005-07-13,13-07-2005 00:00,1.0,heavy rains,,Dharwad,Karnataka,,,,,,,,,,(i)1 house collapsed (ii)Athikatti village tank breached,IMD,,536,29
3344,UEI-IMD-FL-2005-0051,2005-07-13,13-07-2005 00:00,1.0,heavy rains,,Gadag,Karnataka,,,,,2.0,,,,2 persons died due to house collapse in Mundargi taluk ,,IMD,,537,29
3345,UEI-IMD-FL-2005-0052,2005-07-15,21-07-2005 00:00,7.0,heavy rains,,"Bengaluru Urban, Davangere,Tumakuru",Karnataka,,,,,4.0,4.0,,21,"(i)4 persons died,4 other injured due to house collapse (ii)21 cattle died","(i)4 houses collapsed (ii)Damage to 150 acres of agriculture land reported (iii)Damage to coconut,maize crop reported",IMD,,"525, 535, 548",29
3346,UEI-IMD-FL-2005-0053,2005-07-22,28-07-2005 00:00,7.0,heavy rains,,"Bengaluru Urban, Belagavi, Chikkaballapura, Dharwad, Gadag,  Kalaburagi, Kodagu,Uttar Kashia Kannada",Karnataka,,,,,6.0,,,,"6 persons including 2 women,2 children died","(i)317 houses,11 Govt buildings completely damaged (ii)A car was severely damaged due to uprooting of a tree (iii)318 electric poles uprooted",IMD,,"525, 527, 630, 536, 537, 538, 541, None",29
3347,UEI-IMD-FL-2005-0054,2005-07-27,27-07-2005 00:00,1.0,flash flood,,Kodagu,Karnataka,,,,,,1.0,,,1 woman washed away in flood water in Sangameshwar Pet,,IMD,,541,29
3348,UEI-IMD-FL-2005-0055,2005-07-27,27-07-2005 00:00,1.0,heavy rains,,Chikkaballapura,Karnataka,,,,,,1.0,,,1 person washed away in Koppa taluk,"Damage to 307 houses,public property reported  in Dharwad taluk",IMD,,630,29
3349,UEI-IMD-FL-2005-0056,2005-07-27,27-07-2005 00:00,1.0,heavy rains,,Dharwad,Karnataka,,,,,,,,,,,IMD,,536,29
3350,UEI-IMD-FL-2005-0057,2005-07-28,28-07-2005 00:00,1.0,flash flood(ghatprabha),,Belagavi,Karnataka,,,,,,4.0,,,(i)3 persons including 1 woman washed away (ii)1 person drowned in Mallimeddi area,"(i)About 182 houses collapsed (ii)4 villages submerged (iii)Kusunala, Molavad,Jugula villages inundated",IMD,,527,29
3351,UEI-IMD-FL-2005-0058,2005-07-28,28-07-2005 00:00,1.0,flash flood,,Chikkaballapura,Karnataka,,,,,1.0,,,,1 person died in Ajjampura of Tarikere taluk,,IMD,,630,29
3352,UEI-IMD-FL-2005-0059,2005-08-01,01-08-2005 00:00,1.0,"flash floods(krishna,bhima)",,"Bagalkotee Belagavi,Bijapur",Karnataka,,,,,,,,,,"(i)Many villages inundated due to releasee of water from Koyana Dam (ii)Nearly 66 villages affected due to rain water from Bhima,Krishna river (iii)Back water of Narayanpura dam affected 34 villages in Muddehebihai taluk",IMD,,"None, 636",29
3353,UEI-IMD-FL-2005-0060,2005-08-05,08-08-2005 00:00,4.0,heavy rains,,"Belagavi,Tumakuru",Karnataka,,,,,,9.0,,,9 persons including 3 children died in drowning / house collapse incidents,"About 33,702 houses  damaged/ collapsed",IMD,,"527, 548",29
3354,UEI-IMD-FL-2005-0061,2005-08-28,28-08-2005 00:00,1.0,heavy rains,,Davangere,Karnataka,,,,,3.0,2.0,,,"(i)1 old man died due to house collapse in Horenganguru village of Chennagiri taluk (ii)A woman,a boy died,2 persons injured due to a house collapse in Halavalagullu of Harpanhalli taluk",150 houses damaged,IMD,,535,29
3355,UEI-IMD-FL-2005-0062,2005-08-28,28-08-2005 00:00,1.0,flash flood,,Bengaluru Urban,Karnataka,,,,,,4.0,,,4 women labourers washed away near Kanakapura,(i)A part of road collapsed in Koramangola (ii)Several houses collapsed near Allalasandra lake (iii)About 20 trees uprooted in Bangalore city,IMD,,525,29
3356,UEI-IMD-FL-2005-0063,2005-10-09,09-10-2005 00:00,1.0,heavy rains,,Bengaluru Urban,Karnataka,,,,,,1.0,,,1 old woman injured due to house collapse,,IMD,,525,29
3357,UEI-IMD-FL-2005-0064,2005-10-15,21-10-2005 00:00,7.0,flash flood,,"Bengaluru Urban,Raichur",Karnataka,,,,,13.0,,,,"13 persons including 5 women,2 children died",(i)More than 300 people lost hutments in Mandvi taluk (ii)Vehicular traffic disrupted as the bridge was damaged on Nandihalla village of Sindanoor taluk (iii) 3 cars damaged,IMD,,"525, 546",29
3358,UEI-IMD-FL-2005-0065,2005-10-22,28-10-2005 00:00,7.0,heavy rains,,"Bengaluru Urban, Chamarajanagaraa Hassan, Kolar, Mandya, Mysuru,Tumakuru",Karnataka,,,,,33.0,,,2012,"(i)33 persons injured including 2 women,some children died (ii)2012 cattleheads perished","(i)Many coconut trees uprooted (ii)Sugarcane, supota,paddy in hundreds of acres damaged (iii)20,990 houses destroyed (iv) 500 telephone line snapped (v)Crops in 60,000 acres destroyed (vi)500 tanks breached",IMD,,"525, None, 542, 544, 545, 548",29
3509,UEI-IMD-FL-2006-0041,2006-05-27,30-05-2006 00:00,4.0,heavy rains,,"Bengaluru Urban, Dakshina Kannada, Dharwad, Udupi,Uttar Kashia Kannada",Karnataka,,,,,21.0,4.0,,,"21 persons including a girl died,4 other injured.","i) 25 shops,hundreds of houses flooded ii) 4 vehicles damaged,many submerged. iii) 10 massive trees uprooted. iv) One house collapsed.",IMD,,"525, 534, 536, 549, None",29
3510,UEI-IMD-FL-2006-0042,2006-07-13,13-07-2006 00:00,1.0,flash flood,,Uttar Kashia Kannada,Karnataka,,,,,,,,,,i) Many trees uprooted. ii) Damage to many houses / buildings reported. iii) 200 quintals of rice damaged.,IMD,,,29
3511,UEI-IMD-FL-2006-0043,2006-07-28,28-07-2006 00:00,1.0,heavy rains,,"Mandya,Mysuru",Karnataka,,,,,,,,,,Wall of Atriya Brivandan Power Ltd. Collapsed.,IMD,,"544, 545",29
3512,UEI-IMD-FL-2006-0044,2006-08-01,01-08-2006 00:00,1.0,"flash flood (bheema, krishna,ghatprabha)",,"Bagalkotee Belagavi,Bijapur",Karnataka,,,,,,,,,,i) 26 villages submerged. ii) 1600 families evacuated to safer places. iii) Extensive damage to crops reported.,IMD,,"None, 636",29
3513,UEI-IMD-FL-2006-0045,2006-08-05,05-08-2006 00:00,1.0,"flash flood(bheema,krishna) ",,Bijapur,Karnataka,,,,,,,,1,One buffalo washed away,Crops in 4400 hectares destroyed.,IMD,,636,29
3636,UEI-IMD-FL-2007-0057,2007-04-21,21-04-2007 00:00,1.0,heavy rains,,Mysuru,Karnataka,,,,,,,,,,"i) A house collapsed. 15 huts,petty shops damaged. ii) About 25 trees uprooted. ",IMD,,545,29
3637,UEI-IMD-FL-2007-0058,2007-04-22,22-04-2007 00:00,1.0,flash flood,,Bengaluru Urban,Karnataka,,,,,,1.0,,,One woman washed away. ,"i) Heavy damage to private,public property reported. ii) Hundreds of houses in the low lying areas flooded. ",IMD,,525,29
3638,UEI-IMD-FL-2007-0059,2007-05-27,27-05-2007 00:00,1.0,heavy rains,,Bagalkote,Karnataka,,,,,3.0,8.0,,,"3 woman died,8 missing.",A dam breached.,IMD,,524,29
3639,UEI-IMD-FL-2007-0060,2007-06-18,18-06-2007 00:00,1.0,heavy rains,,"Dakshina Kannada,Udupi",Karnataka,,,,,,,,,,"19 houses,mosque damaged.",IMD,,"534, 549",29
3640,UEI-IMD-FL-2007-0061,2007-06-21,24-06-2007 00:00,4.0,heavy rains,,"Belagavi, Bijapur, Dakshina Kannada,  Kalaburagi, Hassan, Kodagu, Koppal, Mangalore,Raichur",Karnataka,,,,,39.0,20.0,,,"39 persons died,20 injured.","i) About 1300 houses completely partially damaged. ii) Several trees uprooted,400 electric poles uprooted,12 transformers damaged. iii) 10 villages marooned. ",IMD,,"527, 636, 534, 538, 539, 541, 543, None, 546",29
3641,UEI-IMD-FL-2007-0062,2007-06-27,27-06-2007 00:00,1.0,heavy rains,,Raichur,Karnataka,,,,,1.0,3.0,,,"One girl died,3 other injured.",Few houses collapsed.,IMD,,546,29
3642,UEI-IMD-FL-2007-0063,2007-06-30,30-06-2007 00:00,1.0,heavy rains,,"Belagavi, Kodagu, Raichur,Uttar Kashia Kannada,",Karnataka,,,,,,,,,,"i) Hundreds of acres of paddy field inundated. ii) Road / rail communication affected due to inundation of several bridges,roads. iii) Power,phone links snapped. iv) Few number of houses partially / fully collapsed. v) Low lying areas flooded. ",IMD,,"527, 541, 546, None, 603",29
